CacheRefs;CacheMisses;Energy(J);time(s)
7445856;1637432;21.16;9.473131903
39515755;9697506;21.7;9.505952682
7325807;1720987;21.25;9.517179819
39815306;9840465;21.62;9.470900689
7116901;1625571;21.15;9.472573346
38774408;9508086;21.71;9.478248359
7340146;1749519;21.6;9.67608097
39342964;9833557;21.84;9.524096673
7278880;1725618;21.28;9.536015245
39079976;9576996;21.72;9.47234439
7112368;1638584;21.17;9.484441159
38755258;9452129;21.7;9.526071508
7215917;1730104;21.16;9.472403485
39398502;9731750;21.69;9.481899021
7625319;2003995;21.36;9.570023477
38455819;9370830;21.76;9.457281359
7093548;1638177;21.15;9.468905419
39538220;9491901;21.7;9.477103414
7370738;1775237;20.88;9.460517268
38766473;9464596;21.53;9.476112823
7315690;1799708;20.85;9.46906095
39115544;9354632;21.61;9.70637438
6981242;1566011;20.65;9.466852085
40623355;9306627;21.57;9.661094174
7138918;1641515;20.43;9.502994924
38635209;8819700;20.56;9.470942275
7268262;1786740;20.21;9.458281555
39302940;9075681;20.39;9.464033719
7304747;1708570;20.01;9.479674844
38417840;9372281;21.27;9.609958451
7110419;1647567;19.21;9.470824529
38669810;9478174;20.26;9.54359755
7403022;1846217;19.09;9.461371405
38548431;9436644;20.53;9.58601035
8208291;1990511;18.98;9.539557641
38976607;9553096;20.69;9.480656746
7147802;1723899;20.04;9.550853101
39800543;9242662;20.55;9.637797479
7285440;1775386;19.26;9.485607664
38719530;9153107;20.12;9.467799419
7527186;1939131;19.97;9.45985858
37602022;8509101;20.81;9.461377681
7357981;1847292;20.33;9.464470175
39386590;9117332;21.68;9.534636315
7444787;1692931;21.09;9.683046418
39264844;8981890;21.7;9.510055262
7230840;1659576;21.07;9.491709725
39664777;9259222;21.72;9.471160618
8192164;2296384;21.03;9.516579107
39812264;9517597;21.7;9.55809392
7197599;1664102;21.08;9.466219707
38868774;8935905;21.66;9.475684462
7567837;2076267;21.67;9.734123788
38496625;8671547;21.74;9.483376708
7305082;1797248;21.1;9.465233962
38658417;8775957;21.74;9.494885918
7697270;1993082;21.13;9.472980503
38704375;8777208;21.72;9.472585965
7835877;2147743;21.12;9.477282059
39390206;9056300;21.68;9.535373778
7440038;1882673;21.05;9.457932357
38724884;8777023;21.71;9.479405535
7351256;1722361;21.12;9.456801725
39054938;8854712;23.72;10.351264626
7371000;1892589;21.12;9.466940821
39384998;9125693;22.05;9.588849046
11177392;2183053;21.2;9.467968559
38289276;8784301;21.63;9.46570265
7662246;1981285;21.37;9.568995773
40795562;10266929;21.54;9.4731437
7702476;2036136;21.13;9.465346692
38485892;8839331;21.99;9.575554246
7482899;1884341;21.13;9.458310015
38611110;8892035;21.79;9.492849942
7627510;1933156;21.24;9.512492878
38602114;8917571;21.74;9.474824256
7576139;2044611;21.17;9.474432619
39624324;9071737;23.74;10.463531613
7673346;1864813;21.22;9.504838152
38800980;8746607;21.65;9.475563022
7280476;1753882;21.12;9.457620389
38955403;9115517;21.7;9.457020875
7718068;2057553;22.03;9.865752076
39548781;9092812;21.8;9.515964044
7548736;1900733;21.1;9.475153609
38761599;9585684;21.58;9.46898217
7434561;1869657;20.98;9.488957867
39464618;9789266;21.41;9.544109713
7463215;1864484;20.71;9.452787313
38756130;9648748;21.03;9.483193975
7532459;1925890;19.9;9.453792738
39285019;9791089;20.46;9.475948195
7447366;1831337;20.06;9.45684466
38589809;9577614;20.31;9.490395121
7199439;1702302;20.03;9.606168509
38669055;8803206;19.98;9.467916255
7703971;1968320;20.01;9.580538062
38664110;8993592;21.04;9.5499038
7543045;1928658;20.36;9.678003859
38774206;9552259;20.74;9.664129394
