CacheRefs;CacheMisses;Energy(J);time(s)
18560968;5785946;116.8;56.283384157
20375199;6082225;119.15;56.422254146
17752044;5664764;121.4;57.925912649
20487835;6234561;118.71;56.31760284
17470255;5465380;115.95;56.301993593
20629911;6349522;117.28;56.262604158
21309457;6486591;118.03;56.311449564
18919677;6671945;114.18;56.323212093
21914411;7253738;115.01;56.18884555
21613529;7345258;119.71;57.303487631
18151557;6096510;119.33;56.220428604
19594170;6067156;118.61;56.36873783
17538368;5837145;121.71;57.394151911
18901699;5968670;119.51;56.22840931
17927157;5803309;120.3;56.270519728
20234977;6082879;119.53;56.600528887
21129172;6478375;116.8;56.294999035
17573527;5667439;118.26;56.21897717
21542452;6649358;119.91;58.807492954
21134251;6849401;117.1;56.325770467
18570470;6202361;112.82;56.313008856
21528465;7070108;112.91;56.206752443
22241384;7417949;113.9;56.666822205
18461060;6054943;118.22;56.937846452
20794373;6607753;114.72;57.366826263
20612784;6590420;119.16;56.29563271
17755132;5593871;119.27;56.302821823
20472629;6095677;119.52;56.503617984
17603013;5403896;119.1;56.238420876
20723636;6360945;117.74;56.268768421
17193796;5413917;119.23;56.194319524
20698485;6029306;115.14;56.692101976
19350786;5978334;112.43;56.449402736
19233297;6245477;114.3;56.511403523
18732674;5824731;116.23;56.235337163
20724108;6195151;116.82;57.028745275
20568867;6267739;115.88;56.220833439
17210961;5383818;117.68;56.492518839
20688899;6419693;116.16;56.27138238
20407724;6328384;111.98;56.13468039
17693667;5522298;115.17;56.198943589
20167327;6156124;110.82;56.263175047
20389071;6252875;115.15;56.312669529
17519617;5554696;111.31;56.364185603
20314930;6330680;110.79;56.209772385
20559940;6123059;113.08;56.31237577
17203926;5277695;113.74;56.212397927
19189727;5745183;109.74;56.275245244
20678649;6138844;109.89;56.252416417
18554595;6002348;113.5;56.200620143
18480696;6517496;114.78;56.224062263
20958888;6736423;114.78;56.251627828
22264767;7428178;117.1;56.334979793
17886469;5610988;116.03;56.559841044
20395166;6470312;116.33;56.26837711
20059420;6217487;110.96;56.279444381
19108438;5809825;112.58;57.042306307
18976855;5616859;111.29;56.241644636
20149572;6093185;110.25;56.149726483
17472364;5320414;116.26;57.280594012
20796060;6545441;113.1;56.228997809
20345583;6240737;110;56.284655612
20184220;6179478;116.1;56.297197293
18970399;5759040;114.83;56.223493382
20271175;6202607;114.64;56.19373563
18694875;5853113;115.35;56.28942542
23439725;7090598;116.01;56.645004507
20303393;6547770;115.05;56.175835264
20288308;6327630;110.32;56.226839687
20192913;6236944;111.47;57.03421508
20488317;6641726;115.7;56.268613642
17289963;5477503;116.65;56.359185905
20570534;6030969;115.78;56.29766058
20594930;6139940;114.89;56.219019009
17251117;5157812;117.55;58.993982883
20111047;5961757;111.94;56.242405307
20467660;6042697;111.42;56.345515256
17849128;5460191;116.48;57.001058953
20711943;6169633;115.84;56.347685442
20364767;6174747;115.18;56.297305596
18847578;6404732;112.07;56.786449104
21060301;6808016;111.09;56.21942881
19947554;6523512;116.13;56.160192519
19461312;6133690;116.3;56.246443846
18087999;5944090;117.43;56.28509877
20942950;6545043;117.45;57.549771648
20997699;6657476;118.05;57.540583182
17611085;5269968;115.84;56.736843562
20206014;6066128;117.21;56.469951559
20368317;6049454;118.25;56.263579644
17466027;5433601;113.4;56.369636737
23188007;7190831;111.15;56.233482426
20533140;6276828;121.14;60.598090421
20052215;5902657;116.22;56.22254678
20496313;6200922;117.96;56.16980364
20403871;6380208;117.25;56.5370408
17551068;5241816;117.79;56.796697301
20756510;6399372;116.32;56.469892122
18687380;5795681;112.05;56.349519495
19157773;6156610;118.11;56.438856537
