CacheRefs;CacheMisses;Energy(J);time(s)
55728766;20233218;340.13;171.263895925
47597132;17728917;353.45;171.264299505
48356088;17223264;354.11;171.470766676
46404453;17523502;345;171.45374643
46919832;18534349;347.24;171.045690696
45430049;16732551;349.36;171.367669095
45186082;16391372;354.15;171.655352878
44846701;16394268;351.81;172.759366133
45556552;16294093;360.05;171.753420117
45574965;16821564;355.65;171.865237754
45069059;16861352;363.85;173.121160935
44971953;16608302;353.42;171.262735802
46058204;15712814;347.25;173.304441516
50539059;19645064;360.91;171.247734688
53942110;19628452;352.93;171.351717323
52321101;19079566;345.21;171.588355109
50764068;18307699;342.61;171.358014693
51048262;18426362;355.88;170.993302704
54860885;19647126;352.03;172.021174182
54156678;19267423;349.41;171.586885537
55957934;19726180;357.66;171.228473675
52417345;18150263;357.21;171.522886541
52391682;19140565;362.26;171.608438985
51706977;19721210;347.32;171.068257816
52858835;19712389;361.62;171.304132106
49727794;17920312;368.68;174.858409412
47762138;17008052;353.74;171.454346168
48640246;17479006;353.28;172.638206751
46199459;17331599;349.24;171.247014897
48856185;17829129;352.18;171.160843779
48127790;17587636;386.43;173.30750839
54297031;18994505;370.89;171.361096067
56366702;21176268;500.33;259.315037172
48197859;19056710;381.63;171.168755503
49435600;18508554;380.31;185.443770867
45935006;15664327;361.73;172.77872014
46358134;16763937;385.12;172.974925569
45540387;16431277;362.13;170.988668923
45329996;16523968;348.16;171.247794266
45799150;16967133;378.74;171.784647939
44414952;16489698;379.62;171.313908024
45024750;16539943;348.6;171.198745699
46210981;18152054;376.03;171.441544271
47190378;18292888;381.63;171.328095209
45862971;16809004;378.32;171.544671341
45431869;16036995;364.91;171.342966795
45069260;16496026;375.9;171.347491376
45130554;16171665;384.04;172.903016191
45413777;16696171;394.11;180.044921414
46048848;17479083;355.87;172.944167765
45749220;16276579;373.33;171.310513954
44949591;16170031;382.24;171.455336528
46979039;18047559;387.09;173.845106055
47519789;18080433;385.1;172.710907456
45661774;16508092;363.09;173.743671301
47986662;17468450;368.62;171.526484381
44976180;17033208;382.22;171.582427312
44836231;16382164;381.43;171.081006799
46806385;17084327;382.54;173.115692489
46794515;17608815;366.71;188.929616059
45134967;16401439;367.51;171.584288185
45030777;16235422;380.7;171.428701102
47842394;18350393;359.98;177.624672052
46323145;17165573;348.04;171.417379793
45320138;16073250;378.12;171.991714
45183090;16556894;400.59;185.646181427
45328993;16366286;339.07;171.352744197
44637394;16039276;342.38;171.474167889
46166787;17256404;377.64;171.129661737
44737456;16252859;372.16;171.468996878
44746534;16272394;343.69;171.539838716
44558091;16577965;339.91;171.282612963
47520667;18548936;371.74;172.044678754
63413628;24429006;379.82;171.306473788
44535768;16544540;366.68;172.381715045
45077735;16669419;355.05;171.390295164
45224462;16392885;349.5;177.550390808
45210632;15914792;338.49;171.145916432
45970062;17719227;367.81;171.165529307
45101070;16966474;377.19;171.475093343
45092616;16513759;359.41;171.612487577
45552426;17419370;348.6;174.069164107
47742925;18365505;338.75;171.17795536
49737676;17936163;338.48;171.524882135
50741467;18096888;343.4;173.946022252
50001953;17670749;340.69;171.246359311
51082982;18782532;356.88;179.231193774
50538709;18748471;348.85;171.336316511
52045475;18912672;349.05;172.693815876
51408042;18376645;368.29;185.609110572
48089996;17228374;335.47;171.246650554
52847137;19239571;353.74;172.65173561
50733215;19367482;346.78;172.880514397
54170867;18864931;344.39;171.272844605
54643851;18685590;347.68;171.807684086
54910086;19054742;348.39;171.268297059
51518182;18204398;352.22;177.604556205
51610830;17968072;360.44;171.48526143
52109610;19377361;366.17;172.218464918
50994562;17886559;357.76;170.981417803
