CacheRefs;CacheMisses;Energy(J);time(s)
9819656;2600779;35.33;15.849018411
9314056;2378484;35.18;15.811494935
9397793;2313317;35.28;15.833332214
9639611;2523405;35.28;15.837315486
9926886;2737091;35.3;15.848842179
9904721;2727846;35.24;15.810387484
9785840;2527752;36.48;16.368300749
9684785;2633372;35.31;15.851787701
9582491;2466841;35.66;15.993078328
18605970;5051343;35.32;15.805226367
18877025;5356912;35.35;15.816369039
9297868;2318165;35.6;15.96711912
9493503;2370034;35.26;15.811106534
9857935;2576705;39.37;17.698623642
10020633;2808898;35.88;16.088938074
10286106;3037915;35.34;15.840771814
9641083;2567836;35.26;15.801940418
9464054;2367403;35.33;15.84554339
9455139;2391835;35.08;15.795981278
10542041;3082582;34.99;15.839729416
9351967;2269355;34.65;15.819841916
9360642;2329450;33.78;15.916465397
9188423;2292447;33.7;15.842975107
9575633;2448291;32.28;15.829996643
9938827;2660226;34.15;15.944214213
9324139;2321645;32.59;15.84420303
9941638;2756782;33.43;15.822482561
9511168;2471460;31.34;15.794953309
10032363;2703909;31.51;15.86523845
9256808;2244411;31.02;15.794660281
9652686;2503795;32.2;15.874659281
9513062;2356083;30.97;15.837990796
9554806;2392501;31.65;15.81982309
9453237;2296548;35.29;17.750735672
9685592;2568830;33.99;15.923370054
9524097;2356169;34.97;15.906181581
9302428;2318332;34.62;15.814657654
9307121;2281539;34.85;15.976620843
10795976;3187844;36.22;16.318778608
9615452;2494295;35.29;15.844919878
9288960;2294817;37.83;17.120061131
9452212;2345134;35.23;15.826101801
9549713;2435981;35.75;16.059028568
9315412;2257785;35.13;15.800226707
9415829;2321138;35.37;15.870424362
9549353;2544730;35.33;15.852525575
9408645;2400509;35.26;15.829979626
9545822;2394696;35.38;15.869265184
9253861;2305365;35.22;15.80234118
9589750;2559704;35.26;15.813503176
9431533;2417977;35.31;15.83374759
9381974;2318599;35.34;15.844349887
9506390;2382052;35.52;15.936534356
9456843;2436141;35.29;15.823165567
9608266;2433070;35.31;15.829766843
9294696;2273847;35.47;15.904389753
9610842;2445767;35.24;15.799167291
9528305;2456766;35.27;15.816068836
9482624;2439931;35.31;15.837814342
9360747;2310479;34.98;15.841982618
9651602;2496793;34.28;15.85548522
9462486;2382217;34.69;15.832589455
9487362;2366394;33.27;15.80873228
9336902;2214567;34.15;15.843592124
9778393;2533988;33.92;15.879835432
9098728;2180425;32.36;15.831939092
9401555;2308723;33.31;16.053985773
9679092;2466259;31.8;15.918101108
9354796;2398470;32.79;15.850022683
9616076;2417961;33.05;16.186441169
9430415;2388456;31.17;15.847853728
9365116;2385878;31.17;15.88162842
9314420;2369674;31.98;15.814193071
9570881;2349668;33.22;16.070554866
9113160;2203913;32.91;15.858757633
9551839;2463936;34.73;17.041712614
9446795;2364931;35.58;17.133507539
9716146;2460302;35.21;15.900124342
9333463;2291553;35.17;15.836919469
9876176;2630423;35.19;15.832297032
9351884;2309603;35.05;15.839364972
9264083;2252789;35.54;15.940827883
9734926;2550796;37.56;17.169497465
9453736;2418768;35.21;15.814047583
9441746;2374472;35.37;15.866745548
9318805;2279460;35.21;15.815502922
9524750;2421231;35.25;15.815710454
9513880;2370695;35.23;15.804491645
9384088;2327984;35.4;15.889263403
9343124;2314458;35.7;16.031069407
9683040;2584875;35.66;16.013183269
9550996;2410447;35.54;15.943614574
9437537;2303332;35.31;15.84012793
9347518;2266411;35.29;15.829384659
9918267;2615363;35.8;16.057730519
9254428;2260540;35.74;16.025053884
9256993;2281425;35.27;15.818962836
9556302;2414945;35.45;15.892813785
9659398;2608145;35.29;15.823992732
9582021;2437278;35.26;15.827800186
